column_name,missing_before,missing_before_pct,missing_after,missing_after_pct
_id,0.0,0.0,0,0.0
clusterID,0.0,0.0,0,0.0
arrival_time,0.0,0.0,0,0.0
departure_time,0.0,0.0,0,0.0
done_time,6.0,0.0474,6,0.0474
energy_kwh,0.0,0.0,0,0.0
sessionID,0.0,0.0,0,0.0
siteID,0.0,0.0,0,0.0
spaceID,0.0,0.0,0,0.0
stationID,0.0,0.0,0,0.0
timezone,0.0,0.0,0,0.0
userID,12646.0,100.0,12645,100.0
userInputs,12646.0,100.0,12645,100.0
WhPerMile,12646.0,100.0,12645,100.0
kWhRequested,12646.0,100.0,12645,100.0
milesRequested,12646.0,100.0,12645,100.0
minutesAvailable,12646.0,100.0,12645,100.0
modifiedAt,12646.0,100.0,12645,100.0
paymentRequired,12646.0,100.0,12645,100.0
requestedDeparture,12646.0,100.0,12645,100.0
hour,0.0,0.0,0,0.0
original_row_index,,,0,0.0
session_duration_hours,,,0,0.0
parking_duration_hours,,,0,0.0
minutes_available_from_times,,,0,0.0
charging_completion_duration_hours,,,6,0.0474
average_power_kw,,,0,0.0
requested_energy_kwh,,,12645,100.0
is_zero_energy,,,0,0.0
has_requested_energy,,,0,0.0
has_minutes_available,,,0,0.0
done_after_departure,,,0,0.0
requested_departure_after_departure,,,0,0.0
